_id,AREA_NAME,HOOD_ID,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,Total_AUTOTHEFT
65e0a11b8e9820685a9dca82,North Toronto,173,4,1.0,2,2.0,4,4,11,14,10,18,70.0
65e0a11b8e9820685a9dca83,South Eglinton-Davisville,174,5,4.0,3,8.0,15,8,15,15,10,21,104.0
65e0a11b8e9820685a9dca84,Dovercourt Village,172,8,10.0,18,11.0,11,12,18,8,25,28,149.0
65e0a11b8e9820685a9dca85,Junction-Wallace Emerson,171,19,17.0,12,17.0,29,23,44,35,47,34,277.0
65e0a11b8e9820685a9dca86,Yonge-Bay Corridor,170,12,20.0,20,14.0,27,38,14,17,29,46,237.0
65e0a11b8e9820685a9dca87,Bendale-Glen Andrew,156,35,37.0,42,25.0,39,35,46,76,83,144,562.0
65e0a11b8e9820685a9dca88,Bay-Cloverhill,169,6,4.0,6,7.0,15,13,9,22,14,17,113.0
65e0a11b8e9820685a9dca89,East Willowdale,152,17,19.0,32,14.0,14,30,23,45,44,86,324.0
65e0a11b8e9820685a9dca8a,East L'Amoreaux,148,7,8.0,13,11.0,13,13,14,19,45,53,196.0
65e0a11b8e9820685a9dca8b,Oakdale-Beverley Heights,154,66,70.0,51,53.0,77,93,103,115,107,161,896.0
65e0a11b8e9820685a9dca8c,Downsview,155,37,32.0,38,31.0,31,69,52,61,127,95,573.0
65e0a11b8e9820685a9dca8d,Fenside-Parkwoods,150,19,16.0,17,29.0,10,21,21,33,37,40,243.0
65e0a11b8e9820685a9dca8e,L'Amoreaux West,147,11,12.0,15,14.0,19,26,20,18,29,63,227.0
65e0a11b8e9820685a9dca8f,Yonge-Doris,151,7,5.0,4,10.0,19,29,22,39,44,47,226.0
65e0a11b8e9820685a9dca90,Parkwoods-O'Connor Hills,149,16,18.0,10,17.0,9,8,23,20,37,55,213.0
65e0a11b8e9820685a9dca91,Avondale,153,9,4.0,6,1.0,8,15,33,34,19,25,154.0
65e0a11b8e9820685a9dca92,Malvern West,145,7,18.0,18,30.0,27,38,24,22,55,55,294.0
65e0a11b8e9820685a9dca93,Malvern East,146,18,13.0,18,27.0,35,40,42,43,45,64,345.0
65e0a11b8e9820685a9dca94,Morningside Heights,144,31,24.0,16,25.0,47,57,43,76,128,153,600.0
65e0a11b8e9820685a9dca95,Woburn North,142,26,16.0,22,22.0,24,40,63,56,107,103,479.0
65e0a11b8e9820685a9dca96,Eglinton East,138,19,21.0,22,29.0,11,27,33,42,44,49,297.0
65e0a11b8e9820685a9dca97,Scarborough Village,139,20,15.0,9,21.0,20,20,23,26,25,46,225.0
65e0a11b8e9820685a9dca98,Highland Creek,134,25,11.0,8,14.0,20,27,15,30,44,60,254.0
65e0a11b8e9820685a9dca99,West Rouge,143,30,29.0,7,8.0,14,32,20,38,67,99,344.0
65e0a11b8e9820685a9dca9a,Golfdale-Cedarbrae-Woburn,141,22,19.0,10,26.0,35,21,37,50,75,78,373.0
65e0a11b8e9820685a9dca9b,Guildwood,140,2,0.0,4,5.0,2,3,11,13,9,23,72.0
65e0a11b8e9820685a9dca9c,Agincourt North,129,17,29.0,18,33.0,42,42,63,52,49,119,464.0
65e0a11b8e9820685a9dca9d,Morningside,135,21,17.0,14,12.0,12,8,32,32,52,50,250.0
65e0a11b8e9820685a9dca9e,Ionview,125,5,12.0,6,5.0,3,8,6,10,10,34,99.0
65e0a11b8e9820685a9dca9f,Agincourt South-Malvern West,128,33,29.0,27,35.0,38,58,63,39,82,127,531.0
65e0a11b8e9820685a9dcaa0,Centennial Scarborough,133,8,7.0,5,9.0,10,22,10,22,26,46,165.0
65e0a11b8e9820685a9dcaa1,Kennedy Park,124,26,12.0,13,30.0,30,24,31,33,53,45,297.0
65e0a11b8e9820685a9dcaa2,Dorset Park,126,51,42.0,44,41.0,82,61,73,49,69,98,610.0
65e0a11b8e9820685a9dcaa3,Downtown Yonge East,168,27,19.0,17,14.0,48,43,25,45,43,45,326.0
65e0a11b8e9820685a9dcaa4,Church-Wellesley,167,11,10.0,8,17.0,26,17,8,33,16,37,183.0
65e0a11b8e9820685a9dcaa5,Harbourfront-CityPlace,165,14,14.0,10,20.0,9,14,21,27,27,34,190.0
65e0a11b8e9820685a9dcaa6,Wellington Place,164,28,20.0,25,29.0,40,33,40,48,73,71,407.0
65e0a11b8e9820685a9dcaa7,West Queen West,162,12,7.0,7,6.0,7,14,12,13,23,14,115.0
65e0a11b8e9820685a9dcaa8,West Hill,136,22,18.0,15,31.0,27,46,55,74,60,81,429.0
65e0a11b8e9820685a9dcaa9,Fort York-Liberty Village,163,10,15.0,14,10.0,13,19,16,14,16,23,150.0
65e0a11b8e9820685a9dcaaa,Milliken,130,39,43.0,35,60.0,91,85,71,80,103,298,905.0
65e0a11b8e9820685a9dcaab,St Lawrence-East Bayfront-The Islands,166,20,11.0,7,16.0,20,19,13,31,39,43,219.0
65e0a11b8e9820685a9dcaac,Islington,158,26,24.0,33,24.0,36,57,50,58,94,170,572.0
65e0a11b8e9820685a9dcaad,Briar Hill-Belgravia,108,14,14.0,15,10.0,36,19,37,28,54,37,264.0
65e0a11b8e9820685a9dcaae,Mimico-Queensway,160,28,26.0,28,22.0,13,41,34,32,63,69,356.0
65e0a11b8e9820685a9dcaaf,Bendale South,157,10,12.0,7,11.0,15,20,8,15,21,24,143.0
65e0a11b8e9820685a9dcab0,Oakwood Village,107,20,12.0,26,14.0,31,40,24,30,64,58,319.0
65e0a11b8e9820685a9dcab1,Etobicoke City Centre,159,64,76.0,103,71.0,122,118,102,118,187,294,1255.0
65e0a11b8e9820685a9dcab2,Lawrence Park North,105,23,22.0,14,27.0,39,18,23,46,81,81,374.0
65e0a11b8e9820685a9dcab3,Humewood-Cedarvale,106,11,7.0,17,22.0,21,16,26,34,56,53,263.0
65e0a11b8e9820685a9dcab4,Lawrence Park South,103,15,28.0,20,16.0,30,27,30,62,96,120,444.0
65e0a11b8e9820685a9dcab5,Forest Hill North,102,12,13.0,8,11.0,21,27,42,35,38,53,260.0
65e0a11b8e9820685a9dcab6,Forest Hill South,101,5,13.0,9,12.0,26,20,38,75,82,94,374.0
65e0a11b8e9820685a9dcab7,Yonge-Eglinton,100,6,9.0,3,2.0,11,12,17,28,35,40,163.0
65e0a11b8e9820685a9dcab8,Mount Pleasant East,99,7,4.0,8,10.0,15,17,19,38,63,57,238.0
65e0a11b8e9820685a9dcab9,Yonge-St.Clair,97,2,3.0,7,2.0,6,6,9,13,32,38,118.0
65e0a11b8e9820685a9dcaba,Rosedale-Moore Park,98,10,26.0,12,4.0,31,34,52,73,108,143,493.0
