_id,AREA_NAME,HOOD_ID,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,Total_BIKETHEFT
65e0a11b8e9820685a9dca82,North Toronto,173,5,13,9,13,17,22,50,22,10,22.0,183.0
65e0a11b8e9820685a9dca83,South Eglinton-Davisville,174,17,19,27,34,30,42,94,34,18,37.0,352.0
65e0a11b8e9820685a9dca84,Dovercourt Village,172,26,34,52,45,30,26,28,26,20,38.0,325.0
65e0a11b8e9820685a9dca85,Junction-Wallace Emerson,171,40,41,50,62,65,70,54,36,36,55.0,509.0
65e0a11b8e9820685a9dca86,Yonge-Bay Corridor,170,223,156,202,215,267,219,173,169,230,228.0,2082.0
65e0a11b8e9820685a9dca87,Bendale-Glen Andrew,156,10,7,4,23,2,3,1,4,6,10.0,70.0
65e0a11b8e9820685a9dca88,Bay-Cloverhill,169,78,87,99,99,96,70,59,58,68,56.0,770.0
65e0a11b8e9820685a9dca89,East Willowdale,152,7,9,15,6,1,4,16,12,8,10.0,88.0
65e0a11b8e9820685a9dca8a,East L'Amoreaux,148,0,2,2,2,4,2,1,2,3,7.0,25.0
65e0a11b8e9820685a9dca8b,Oakdale-Beverley Heights,154,5,8,7,1,7,8,11,9,14,12.0,82.0
65e0a11b8e9820685a9dca8c,Downsview,155,7,4,9,4,10,8,5,6,6,8.0,67.0
65e0a11b8e9820685a9dca8d,Fenside-Parkwoods,150,1,4,8,8,2,4,2,5,3,7.0,44.0
65e0a11b8e9820685a9dca8e,L'Amoreaux West,147,2,1,5,7,7,6,5,7,3,8.0,51.0
65e0a11b8e9820685a9dca8f,Yonge-Doris,151,12,15,18,9,13,12,26,14,28,17.0,164.0
65e0a11b8e9820685a9dca90,Parkwoods-O'Connor Hills,149,1,1,1,9,4,2,2,3,0,2.0,25.0
