_id,AREA_NAME,HOOD_ID,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,Total_SHOOTING
65e0a11b8e9820685a9dca82,North Toronto,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
65e0a11b8e9820685a9dca83,South Eglinton-Davisville,174,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0
65e0a11b8e9820685a9dca84,Dovercourt Village,172,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0
65e0a11b8e9820685a9dca85,Junction-Wallace Emerson,171,0.0,2.0,1.0,5.0,3.0,2.0,5.0,3.0,3.0,2.0,26.0
65e0a11b8e9820685a9dca86,Yonge-Bay Corridor,170,1.0,3.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,2.0,20.0
65e0a11b8e9820685a9dca87,Bendale-Glen Andrew,156,1.0,1.0,3.0,5.0,1.0,3.0,7.0,5.0,7.0,1.0,34.0
65e0a11b8e9820685a9dca88,Bay-Cloverhill,169,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
65e0a11b8e9820685a9dca89,East Willowdale,152,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,10.0
65e0a11b8e9820685a9dca8a,East L'Amoreaux,148,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,20.0
65e0a11b8e9820685a9dca8b,Oakdale-Beverley Heights,154,4.0,4.0,4.0,6.0,7.0,3.0,5.0,9.0,7.0,6.0,55.0
65e0a11b8e9820685a9dca8c,Downsview,155,4.0,2.0,2.0,5.0,2.0,7.0,3.0,0.0,4.0,3.0,32.0
65e0a11b8e9820685a9dca8d,Fenside-Parkwoods,150,0.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,3.0,1.0,20.0
65e0a11b8e9820685a9dca8e,L'Amoreaux West,147,1.0,3.0,5.0,11.0,6.0,6.0,8.0,3.0,4.0,1.0,48.0
65e0a11b8e9820685a9dca8f,Yonge-Doris,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65e0a11b8e9820685a9dca90,Parkwoods-O'Connor Hills,149,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,12.0
65e0a11b8e9820685a9dca91,Avondale,153,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
65e0a11b8e9820685a9dca92,Malvern West,145,2.0,3.0,1.0,2.0,4.0,8.0,5.0,6.0,2.0,3.0,36.0
65e0a11b8e9820685a9dca93,Malvern East,146,2.0,4.0,9.0,6.0,7.0,5.0,10.0,4.0,5.0,3.0,55.0
65e0a11b8e9820685a9dca94,Morningside Heights,144,2.0,5.0,5.0,8.0,2.0,3.0,4.0,3.0,2.0,8.0,42.0
65e0a11b8e9820685a9dca95,Woburn North,142,1.0,3.0,2.0,4.0,4.0,2.0,2.0,7.0,7.0,4.0,36.0
65e0a11b8e9820685a9dca96,Eglinton East,138,4.0,2.0,3.0,11.0,2.0,6.0,11.0,8.0,6.0,3.0,56.0
65e0a11b8e9820685a9dca97,Scarborough Village,139,1.0,2.0,3.0,5.0,2.0,6.0,3.0,3.0,1.0,2.0,28.0
65e0a11b8e9820685a9dca98,Highland Creek,134,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0
